Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly),Electricity:Facility [kW](Monthly)
 01/01  01:00:00,17.2090390991,1.49716035568,0.0,0.0,2.55330491699,7.80157382632,37.0846981062,35.0466960185,2.03800208772
 01/01  02:00:00,16.7287029709,1.60554884343,0.0,0.0,2.55330491699,7.21284921042,38.8421261517,37.6806251079,1.16150104386
 01/01  03:00:00,16.4806267034,1.65183488391,0.0,0.0,2.55330491699,6.91848690247,39.1410827312,38.6369574702,0.504125260965
 01/01  04:00:00,16.4253689566,1.74375829105,0.0,0.0,2.55330491699,6.7713057485,41.502667099,40.998541838,0.504125260965
 01/01  05:00:00,18.5484623337,1.7903582204,0.0,0.0,3.82705111198,7.57405300124,43.3751555017,42.2136544579,1.16150104386
 01/01  06:00:00,23.076025716,1.7793091408,0.0,0.0,6.02426329834,9.91545327661,48.2638320784,42.0624500324,6.20138204605
 01/01  07:00:00,28.2448414277,1.62987377238,0.0,0.0,6.51253267309,14.7454349813,59.0018868702,38.1191123396,20.8827745307
 01/01  08:00:00,30.0024139172,1.55467632224,0.0,0.0,6.01364874671,17.9699221805,58.2899724139,36.0924463174,22.1975260965
 01/01  09:00:00,23.221591922,1.43665574892,0.0,0.0,3.66783283761,18.1171033345,54.3126442053,32.9916191527,21.3210250526
 01/01  10:00:00,20.2316424297,1.27033809713,0.0,0.0,3.10526160149,15.8560427302,47.3950586199,28.7035366988,18.691521921
 01/01  11:00:00,17.0837011693,1.0390235399,0.0,0.0,3.10526160149,12.9394160272,40.0196191414,23.081099308,16.9385198333
 01/01  12:00:00,17.0754031131,0.883544329855,0.0,0.0,3.10526160149,13.0865971812,33.1298764763,19.4782355574,13.6516409189
 01/01  13:00:00,16.8070338596,0.762356230394,0.0,0.0,3.10526160149,12.9394160272,28.7622835003,16.8636446692,11.8986388311
 01/01  14:00:00,16.3939640515,0.790829884297,0.0,0.0,3.10526160149,12.4978725653,28.1823812434,17.598493978,10.5838872653
 01/01  15:00:00,16.2618293065,0.80587629327,0.0,0.0,3.10526160149,12.3506914113,27.3256758211,18.0565401216,9.26913569956
 01/01  16:00:00,17.6092053198,0.788242853248,0.0,0.0,4.02872759285,12.7922348732,28.1830733977,17.5991861324,10.5838872653
 01/01  17:00:00,26.8501058211,0.793123300518,0.0,0.0,6.50191812146,17.7693977319,30.1758255938,17.8389362407,12.3368893531
 01/01  18:00:00,37.5735680144,0.71461168498,0.0,0.0,8.38069375907,23.1212625696,32.3062271876,16.0250831372,16.2811440504
 01/01  19:00:00,39.8237906215,0.70393479584,0.0,0.0,10.6415932552,23.1212625696,34.9513493964,15.8215769534,19.129772443
 01/01  20:00:00,38.9388318549,0.788254007437,0.0,0.0,12.3080778603,20.4854999863,36.1008756675,17.8476042684,18.2532713991
 01/01  21:00:00,38.5567155954,0.84625864123,0.0,0.0,12.456681583,19.8967753704,35.9009902935,19.1815957211,16.7193945724
 01/01  22:00:00,33.1746011973,0.927645265109,0.0,0.0,9.18739968257,17.702556249,34.7248670566,21.0732261378,13.6516409189
 01/01  23:00:00,26.3252079173,1.01356454679,0.0,0.0,5.91811778209,14.0365255879,34.8231657563,22.9245269252,11.8986388311
 01/01  24:00:00,20.617746873,1.20261257386,0.0,0.0,3.54045821811,10.5176760807,34.1444086483,27.5047760803,6.63963256798
 01/02  01:00:00,17.0609269705,1.34904822713,0.0,0.0,2.55330491699,7.80157382632,32.9686778199,30.9291133133,2.03956450669
 01/02  02:00:00,16.4705724763,1.34741834885,0.0,0.0,2.55330491699,7.21284921042,31.7031722795,30.540590367,1.16258191248
 01/02  03:00:00,16.205257812,1.37646599254,0.0,0.0,2.55330491699,6.91848690247,31.6054131868,31.1009945352,0.504418651619
 01/02  04:00:00,16.0903057587,1.40869509315,0.0,0.0,2.55330491699,6.7713057485,32.3401743671,31.8357476126,0.504426754426
 01/02  05:00:00,18.1018085622,1.34370444889,0.0,0.0,3.82705111198,7.57405300124,31.2092216338,30.0464434753,1.16277815855
 01/02  06:00:00,22.5193751805,1.22265860529,0.0,0.0,6.02426329834,9.91545327661,33.274767037,27.0631523817,6.21161465529
 01/02  07:00:00,27.6989268612,1.08395920585,0.0,0.0,6.51253267309,14.7454349813,44.7791691951,23.8571385382,20.922030657
 01/02  08:00:00,29.7056168745,1.06434991713,0.0,0.0,6.01364874671,18.163451543,45.7895905036,23.5500663053,22.2395241983
 01/02  09:00:00,24.6298798049,1.39853006308,0.0,0.0,4.35151303671,18.8798367041,44.9853264277,23.6239827718,21.3613436559
 01/02  10:00:00,21.6562665106,1.24854860933,0.0,0.0,3.78894180059,16.6187760998,38.2148782211,19.4880775217,18.7268006994
 01/02  11:00:00,18.6556130443,1.16452184617,0.0,0.0,3.78894180059,13.7021493968,34.314003071,17.3435643429,16.9704387281
 01/02  12:00:00,18.647268955,1.00899660302,0.0,0.0,3.78894180059,13.8493305508,27.5763637848,13.8991037531,13.6772600317
 01/02  13:00:00,18.2122213631,0.884390229292,0.0,0.0,3.69398621738,13.6338449159,23.1960470411,11.2751489808,11.9208980604
 01/02  14:00:00,17.8484112002,0.791956333675,0.00690713056604,0.0,3.78894180059,13.2606059349,19.8127560237,9.20912944188,10.6036265818
