Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/06  04:00:00,946.391423942,97.4919360642,531.641007085,0.0,46.0930336215,113.312780494,535.242227433,520.871155919,5.66466996096,8.70640155327
 01/06  05:00:00,1046.28470077,97.4919360642,543.634369315,0.0,100.150657288,148.969399434,531.47900984,508.421263443,5.66466996096,17.3930764358
 01/06  06:00:00,1073.59066685,97.9598991635,574.804915115,0.0,100.150657288,149.894399434,794.579903021,771.711592028,14.1616749024,8.70663609078
 01/06  07:00:00,1305.37953432,99.2037517166,581.354262414,0.0,176.471037341,302.612436532,623.689928103,577.973047018,28.3233498048,17.3935312794
 01/06  08:00:00,1420.99505197,100.942337113,588.097853279,0.0,243.2593065,310.10971186,593.014508188,532.986367808,42.4850247072,17.5431156727
 01/06  09:00:00,1468.80930153,101.848223741,601.784186218,0.0,243.2593065,310.10971186,578.235449226,495.157481263,56.6466996096,26.4312683538
 01/06  10:00:00,1526.32071922,102.586310886,624.223508449,0.0,243.2593065,302.612436532,547.266423471,469.421598026,42.4850247072,35.3598007378
 01/06  11:00:00,1531.7764807,103.260172911,619.627207059,0.0,243.2593065,310.10971186,546.754575451,440.40055095,70.808374512,35.5456499882
 01/06  12:00:00,1515.95493989,103.782291615,600.486805102,0.0,243.2593065,310.10971186,526.744635229,420.320107936,70.808374512,35.6161527809
 01/06  13:00:00,1467.36634431,104.293540538,592.388514054,0.0,243.2593065,310.10971186,506.465450074,400.215796267,70.808374512,35.441279295
 01/06  14:00:00,1499.99495574,105.081000502,590.71424442,0.0,243.2593065,302.612436532,466.456055247,374.19087999,56.6466996096,35.6184756474
 01/06  15:00:00,1497.8711069,106.015727981,587.457681535,0.0,243.2593065,302.612436532,428.294948405,350.24896157,42.4850247072,35.5609621272
 01/06  16:00:00,1498.99480236,106.92454085,587.782102769,0.0,243.2593065,302.612436532,429.11064916,336.967445656,56.6466996096,35.4965038943
 01/06  17:00:00,1505.73508859,107.582733428,587.034689397,0.0,243.2593065,310.10971186,451.872376531,331.591339237,84.9700494144,35.3109878796
 01/06  18:00:00,1518.69727595,107.700826558,592.207946803,0.0,243.2593065,310.10971186,449.309211327,346.844948365,84.9700494144,17.4942135468
 01/06  19:00:00,1279.35549958,97.4919360642,621.833885526,0.0,166.938926447,199.110933808,455.77376774,353.366050899,84.9700494144,17.4376674265
 01/06  20:00:00,1281.25037378,97.4919360642,631.501292643,0.0,166.938926447,191.61365848,424.184966789,358.810319225,56.6466996096,8.727947955
 01/06  21:00:00,1148.72670169,97.4919360642,632.898359774,0.0,100.150657288,124.558693486,472.736938078,398.649696074,56.6466996096,17.4405423945
 01/06  22:00:00,1110.68031708,97.4919360642,634.246150516,0.0,100.150657288,124.558693486,466.129506502,406.245280026,42.4850247072,17.3992017687
 01/06  23:00:00,1050.87620013,97.4919360642,642.005840144,0.0,46.0930336215,124.558693486,464.938152529,427.908946373,28.3233498048,8.70585635092
 01/06  24:00:00,1067.42264984,97.4919360642,658.92641755,0.0,46.0930336215,124.558693486,472.339720924,440.786050132,14.1616749024,17.3919958893
 01/07  01:00:00,1051.46881625,97.4919360642,655.2791925,0.0,46.0930336215,113.312780494,462.443041968,448.072236165,5.66466996096,8.70613584166
 01/07  02:00:00,1048.70377974,97.4919360642,652.315435937,0.0,46.0930336215,113.312780494,476.647871796,453.590565348,5.66466996096,17.3926364865
 01/07  03:00:00,1051.08382733,97.4919360642,654.891542872,0.0,46.0930336215,113.312780494,473.644589794,459.273503704,5.66466996096,8.70641612841
 01/07  04:00:00,1051.25427796,97.4919360642,655.104929212,0.0,46.0930336215,113.312780494,488.634448201,465.576643656,5.66466996096,17.3931345841
 01/07  05:00:00,1061.58663256,97.4919360642,655.25568311,0.0,55.6251445156,113.312780494,474.863359985,460.492024373,5.66466996096,8.70666565113
 01/07  06:00:00,1058.73623745,97.4919360642,652.2607341,0.0,55.6251445156,113.312780494,495.649150621,464.093861048,14.1616749024,17.3936146715
 01/07  07:00:00,1127.11039197,97.4919360642,647.261167593,0.0,65.1572554096,176.889270242,452.218785692,406.503246254,28.3233498048,17.3921896333
 01/07  08:00:00,1223.83465909,97.7705808806,632.978987104,0.0,109.682768182,220.96816451,668.890626788,617.699419117,42.4850247072,8.70618296344
 01/07  09:00:00,1220.6330778,97.7903099542,622.866936591,0.0,109.682768182,220.96816451,599.017639999,524.898505125,56.6466996096,17.4724352647
 01/07  10:00:00,1303.15376328,98.9359778658,595.294132857,0.0,131.945524568,266.955817592,531.934499514,463.129641042,42.4850247072,26.3198337648
 01/07  11:00:00,1298.64637583,99.2696455168,582.335357507,0.0,131.945524568,274.45309292,530.893672056,433.655418957,70.808374512,26.4298785876
 01/07  12:00:00,1295.17272734,99.2242789911,577.749662597,0.0,131.945524568,274.45309292,518.660827595,421.426227582,70.808374512,26.4262255007
 01/07  13:00:00,1257.94639673,99.2594218305,572.193344963,0.0,131.945524568,274.45309292,503.929285298,406.698711343,70.808374512,26.4221994428
 01/07  14:00:00,1246.5736497,99.5139458214,567.657607597,0.0,131.945524568,266.955817592,470.01956551,386.949145645,56.6466996096,26.4237202554
 01/07  15:00:00,1247.82106618,99.9701395172,568.552777271,0.0,131.945524568,266.955817592,422.924202987,354.015599416,42.4850247072,26.423578864
 01/07  16:00:00,1176.4493046,97.4919360642,576.965330972,0.0,109.682768182,212.545889182,354.010823098,270.941098383,56.6466996096,26.4230251057
 01/07  17:00:00,1188.98858346,97.4919360642,582.385968849,0.0,109.682768182,220.04316451,391.387242627,279.996882502,84.9700494144,26.4203107105
 01/07  18:00:00,1156.83994012,97.4919360642,588.987682468,0.0,109.682768182,220.04316451,406.952107543,295.681388245,84.9700494144,26.3006698832
 01/07  19:00:00,1137.43035711,97.4919360642,597.196127639,0.0,100.150657288,199.110933808,432.825627958,339.148464197,84.9700494144,8.70711434686
 01/07  20:00:00,1143.31150621,97.4919360642,610.509320865,0.0,100.150657288,191.61365848,424.632582986,350.594067417,56.6466996096,17.391815959
 01/07  21:00:00,1039.47667724,97.4919360642,618.767210895,0.0,55.6251445156,124.558693486,462.481318893,397.127254327,56.6466996096,8.70736495658
 01/07  22:00:00,1045.0548794,97.4919360642,625.153327367,0.0,55.6251445156,124.558693486,467.767062212,407.889754323,42.4850247072,17.392283182
 01/07  23:00:00,1033.16479361,97.4919360642,623.262134548,0.0,46.0930336215,124.558693486,462.4926541,425.461690697,28.3233498048,8.70761359803
