Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 09/21  21:00:00,117.895015162,0.0,0.0,0.0,43.513341876,52.539744,13.5322600564,0.0,4.83426,8.6980000564
 09/21  22:00:00,117.671419312,0.0,0.0,0.0,43.513341876,52.539744,13.489384883,0.0,4.83426,8.65512488297
 09/21  23:00:00,118.667601577,0.0,0.0,0.0,43.513341876,52.539744,13.4753700373,0.0,4.83426,8.64111003728
 09/21  24:00:00,117.734306567,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 09/22  01:00:00,117.748733663,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 09/22  02:00:00,117.749280742,0.0,0.0,0.0,43.513341876,52.539744,13.4579061533,0.0,4.83426,8.62364615328
 09/22  03:00:00,117.730444973,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 09/22  04:00:00,119.83688676,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 09/22  05:00:00,119.50456948,0.0,0.0,0.0,43.513341876,52.539744,13.4578207599,0.0,4.83426,8.62356075992
 09/22  06:00:00,188.832799272,69.2143702138,0.0,0.0,43.513341876,53.238744,856.051597586,851.197337586,4.83426,0.02
 09/22  07:00:00,359.756398585,69.2143702138,0.0,0.0,220.879908,53.238744,741.557781777,710.218203604,4.83426,26.5053181733
 09/22  08:00:00,440.29406093,69.2325279503,0.0,0.0,220.879908,145.652643033,662.909425856,582.095534842,36.25695,44.5569410135
 09/22  09:00:00,440.483903856,69.3764026498,0.0,0.0,220.879908,145.652643033,615.648722263,525.189237322,36.25695,54.2025349415
 09/22  10:00:00,446.836150818,69.7379594051,0.0,0.0,220.879908,151.653867033,552.703494667,450.066569313,48.3426,54.2943253543
 09/22  11:00:00,448.784794156,70.7681679801,0.0,0.0,220.879908,151.653867033,418.209654865,315.293487475,48.3426,54.5735673902
 09/22  12:00:00,456.200449097,72.2252541747,6.76643246846,0.0,220.879908,151.653867033,323.527311133,211.274280414,48.3426,63.910430719
 09/22  13:00:00,471.559303695,74.0134686683,26.0331428623,0.0,220.879908,145.652643033,287.404172892,190.029668891,24.1713,73.2032040009
 09/22  14:00:00,487.785590446,76.2214385692,39.9679503397,0.0,220.879908,145.652643033,253.26790475,174.873656207,24.1713,54.2229485429
 09/22  15:00:00,500.114125654,77.0329023187,59.2108841528,0.0,220.879908,137.835547516,176.767215796,117.584050321,4.83426,54.3489054747
 09/22  16:00:00,500.451983698,71.8857842053,69.6389045182,0.0,220.879908,133.019064,77.2689494154,27.5661240372,4.83426,44.8685653783
 09/22  17:00:00,415.035952772,70.1305654695,65.7320567417,0.0,220.879908,53.238744,114.922876644,65.2208569683,4.83426,44.8677596754
 09/22  18:00:00,391.63253196,69.7751350381,42.8893913701,0.0,220.879908,53.238744,142.332562479,83.4126446734,4.83426,54.085657806
 09/22  19:00:00,363.755669739,69.6339160529,12.583208355,0.0,220.879908,53.238744,139.738027327,126.191309787,4.83426,8.7124575399
