Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 10/29  10:00:00,181.816398519,47.523556342,0.0,0.0,27.9495200658,27.7759469175,225.449681302,217.279774073,7.005,1.16490722841
 10/29  11:00:00,212.991800284,47.523556342,0.0,0.0,27.9495200658,27.7759469175,211.274212907,203.104365234,7.005,1.16484767277
 10/29  12:00:00,221.102365434,47.523556342,0.0429907377142,0.0,41.9242800987,36.8599292233,189.817464681,179.312301351,9.34,1.16516333083
 10/29  13:00:00,219.210147986,47.523556342,0.0136430286485,0.0,41.9242800987,36.8599292233,191.384457764,180.879640253,9.34,1.16481751019
 10/29  14:00:00,215.404374489,47.523556342,0.0,0.0,41.9242800987,36.8599292233,202.943903432,192.438778533,9.34,1.16512489907
 10/29  15:00:00,211.765922267,47.523556342,0.0,0.0,41.9242800987,36.8599292233,206.232888777,195.727748664,9.34,1.16514011256
 10/29  16:00:00,212.356369484,47.523556342,0.0,0.0,41.9242800987,36.8599292233,199.597805076,189.092833228,9.34,1.16497184775
 10/29  17:00:00,184.857111686,47.523556342,0.00849130242271,0.0,27.9495200658,27.7759469175,224.739555096,216.569526994,7.005,1.16502810188
 10/29  18:00:00,200.476447853,47.523556342,0.0,0.0,13.9747600329,18.6919646116,254.910073364,249.075295486,4.67,1.16477787747
 10/29  19:00:00,183.486388811,47.523556342,0.0,0.0,13.9747600329,18.6919646116,290.152125818,284.317288609,4.67,1.16483720937
 10/29  20:00:00,172.537809517,47.523556342,0.0,0.0,13.9747600329,18.6919646116,314.906077267,310.216077267,4.67,0.02
 10/29  21:00:00,157.914204597,47.523556342,0.0,0.0,13.9747600329,18.6919646116,280.712165613,274.877594541,4.67,1.16457107206
 10/29  22:00:00,77.1673027675,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 10/29  23:00:00,112.965775519,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91559994882,0.0,1.75125,1.16434994882
 10/29  24:00:00,87.61729533,6.06510530697,0.0,0.0,3.49369000822,6.81298672936,9.12290357493,7.35165357493,1.75125,0.02
 10/30  01:00:00,96.1359091514,18.1953159209,0.0,0.0,3.49369000822,9.08398230582,23.5711991973,21.2161991973,2.335,0.02
 10/30  02:00:00,90.0129131135,12.1302106139,0.0,0.0,3.49369000822,9.08398230582,18.0243275275,14.5249995879,2.335,1.16432793958
 10/30  03:00:00,95.9060265455,18.1953159209,0.0,0.0,3.49369000822,9.08398230582,26.0215576881,23.6665576881,2.335,0.02
 10/30  04:00:00,102.603150435,18.1953159209,0.0,0.0,3.49369000822,9.08398230582,25.0463173525,22.6913173525,2.335,0.02
 10/30  05:00:00,96.0986297401,12.1302106139,0.0,0.0,3.49369000822,9.08398230582,21.3442317205,17.8449483964,2.335,1.16428332407
 10/30  06:00:00,156.795410652,47.523556342,0.0,0.0,13.9747600329,18.6919646116,383.424239385,378.734239385,4.67,0.02
 10/30  07:00:00,162.603578331,47.523556342,0.0,0.0,13.9747600329,18.6919646116,348.185816238,342.351308515,4.67,1.16450772277
 10/30  08:00:00,228.526507927,47.523556342,0.0,0.0,34.9369000822,32.3179380704,296.169880405,287.977380405,8.1725,0.02
 10/30  09:00:00,253.503139532,47.523556342,0.0348196339275,0.0,62.886420148,41.4019203762,235.437981446,223.765477897,10.5075,1.16500354907
 10/30  10:00:00,248.266146207,47.523556342,0.0263850559988,0.0,62.886420148,41.4019203762,192.488589873,180.815785204,10.5075,1.1653046697
