Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 06/15  10:00:00,321.652338314,25.382941973,17.0206054591,0.0,62.886420148,41.4019203762,11.6721901823,0.0,10.5075,1.16469018228
 06/15  11:00:00,332.458450521,25.382941973,18.7893100289,0.0,62.886420148,41.4019203762,10.5275,0.0,10.5075,0.02
 06/15  12:00:00,334.913404852,25.382941973,20.2307964081,0.0,62.886420148,41.4019203762,11.6724413193,0.0,10.5075,1.16494131932
 06/15  13:00:00,345.250664378,25.382941973,26.7177360834,0.0,62.886420148,41.4019203762,11.6723086331,0.0,10.5075,1.16480863313
 06/15  14:00:00,347.59717178,25.382941973,33.5320118978,0.0,62.886420148,41.4019203762,11.6722059446,0.0,10.5075,1.16470594463
 06/15  15:00:00,345.925059778,25.382941973,37.7610886624,0.0,62.886420148,41.4019203762,11.6722109446,0.0,10.5075,1.16471094456
 06/15  16:00:00,342.41801723,25.382941973,37.3472909042,0.0,62.886420148,41.4019203762,10.5275,0.0,10.5075,0.02
 06/15  17:00:00,335.049031322,25.382941973,32.6404020213,0.0,62.886420148,41.4019203762,11.6722851169,0.0,10.5075,1.16478511688
 06/15  18:00:00,322.560300323,25.382941973,27.1632090671,0.0,41.9242800987,36.8599292233,10.5045969682,0.0,9.34,1.16459696819
 06/15  19:00:00,309.918231429,25.382941973,22.7473573497,0.0,41.9242800987,36.8599292233,9.36,0.0,9.34,0.02
 06/15  20:00:00,293.257660256,25.382941973,20.1518281438,0.0,34.9369000822,32.3179380704,9.33702596293,0.0,8.1725,1.16452596293
 06/15  21:00:00,226.732511639,25.382941973,30.4106805535,0.0,13.9747600329,18.6919646116,4.69,0.0,4.67,0.02
 06/15  22:00:00,139.646050081,0.0,0.0,0.0,3.49369000822,9.08398230582,3.4993300002,0.0,2.335,1.1643300002
 06/15  23:00:00,165.758705589,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 06/15  24:00:00,147.025635025,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 06/16  01:00:00,137.833775893,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 06/16  02:00:00,135.789882317,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49925495363,0.0,2.335,1.16425495363
 06/16  03:00:00,134.775152594,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 06/16  04:00:00,161.830423872,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 06/16  05:00:00,160.918953882,0.0,0.0,0.0,3.49369000822,9.08398230582,3.499189696,0.0,2.335,1.164189696
 06/16  06:00:00,214.659272766,25.382941973,10.7854256033,0.0,13.9747600329,18.6919646116,4.69,0.0,4.67,0.02
 06/16  07:00:00,221.094058751,25.382941973,7.85141369399,0.0,13.9747600329,18.6919646116,5.64642761463,0.956427614635,4.67,0.02
 06/16  08:00:00,290.323277433,25.382941973,13.2549380192,0.0,34.9369000822,32.3179380704,9.33694640064,0.0,8.1725,1.16444640064
 06/16  09:00:00,334.797118844,25.382941973,21.4749589086,0.0,62.886420148,41.4019203762,10.5275,0.0,10.5075,0.02
 06/16  10:00:00,337.286315618,25.382941973,24.432535087,0.0,62.886420148,41.4019203762,11.6721328781,0.0,10.5075,1.16463287812
 06/16  11:00:00,352.192375404,25.382941973,32.8499463845,0.0,62.886420148,41.4019203762,11.6721458223,0.0,10.5075,1.16464582232
 06/16  12:00:00,353.61311752,25.382941973,35.7015439302,0.0,62.886420148,41.4019203762,11.6723585836,0.0,10.5075,1.16485858359
 06/16  13:00:00,361.578058639,25.382941973,41.2332264438,0.0,62.886420148,41.4019203762,10.5275,0.0,10.5075,0.02
 06/16  14:00:00,354.780826084,25.382941973,42.1233928735,0.0,62.886420148,41.4019203762,11.6722701346,0.0,10.5075,1.1647701346
 06/16  15:00:00,344.937628815,25.382941973,40.0995905119,0.0,62.886420148,41.4019203762,11.6721278222,0.0,10.5075,1.16462782224
 06/16  16:00:00,342.204083323,25.382941973,39.2182878142,0.0,62.886420148,41.4019203762,11.6721802172,0.0,10.5075,1.16468021716
 06/16  17:00:00,324.11423248,25.382941973,25.9384479485,0.0,62.886420148,41.4019203762,10.5275,0.0,10.5075,0.02
 06/16  18:00:00,307.596645552,25.382941973,18.649084427,0.0,41.9242800987,36.8599292233,10.5046752443,0.0,9.34,1.16467524429
 06/16  19:00:00,287.686238774,25.382941973,16.6243790794,0.0,41.9242800987,36.8599292233,10.5045051281,0.0,9.34,1.16450512812
 06/16  20:00:00,271.046165073,25.382941973,14.0169146291,0.0,34.9369000822,32.3179380704,8.1925,0.0,8.1725,0.02
 06/16  21:00:00,196.83235644,25.382941973,12.5294822551,0.0,13.9747600329,18.6919646116,5.83441561948,0.0,4.67,1.16441561948
 06/16  22:00:00,134.360090304,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 06/16  23:00:00,161.920418405,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 06/16  24:00:00,144.224423674,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 06/17  01:00:00,132.393133169,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91554262005,0.0,1.75125,1.16429262005
 06/17  02:00:00,130.532707405,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 06/17  03:00:00,130.255222187,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 06/17  04:00:00,138.520209842,0.0,0.0,0.0,3.49369000822,6.81298672936,2.9154859005,0.0,1.75125,1.1642359005
 06/17  05:00:00,137.807955244,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 06/17  06:00:00,176.467032989,25.382941973,7.84892434892,0.0,6.98738001645,14.1499734587,3.5225,0.0,3.5025,0.02
 06/17  07:00:00,193.20132261,25.382941973,6.01464160207,0.0,6.98738001645,14.1499734587,5.30239487644,0.635464595024,3.5025,1.16443028141
 06/17  08:00:00,256.907861638,25.382941973,8.9339094136,0.0,20.9621400493,23.2339557645,5.8575,0.0,5.8375,0.02
 06/17  09:00:00,292.587291328,25.382941973,15.7305454784,0.0,41.9242800987,36.8599292233,10.5044655679,0.0,9.34,1.16446556787
 06/17  10:00:00,327.135847437,25.382941973,20.5739260175,0.0,62.886420148,41.4019203762,10.5275,0.0,10.5075,0.02
 06/17  11:00:00,349.745887663,25.382941973,30.5846571042,0.0,62.886420148,41.4019203762,11.6722307533,0.0,10.5075,1.16473075334
 06/17  12:00:00,361.374804364,25.382941973,39.8512988805,0.0,62.886420148,41.4019203762,11.6722861254,0.0,10.5075,1.1647861254
 06/17  13:00:00,363.20633624,25.382941973,42.075834041,0.0,62.886420148,41.4019203762,11.6723414449,0.0,10.5075,1.16484144493
 06/17  14:00:00,356.82576966,25.382941973,43.190231754,0.0,62.886420148,41.4019203762,11.6721724365,0.0,10.5075,1.16467243648
 06/17  15:00:00,351.762837572,25.382941973,45.0010574973,0.0,62.886420148,41.4019203762,10.5275,0.0,10.5075,0.02
 06/17  16:00:00,352.626465137,25.382941973,48.174562134,0.0,62.886420148,41.4019203762,11.672219579,0.0,10.5075,1.16471957905
 06/17  17:00:00,347.265630255,25.382941973,44.7530677556,0.0,62.886420148,41.4019203762,11.6722584191,0.0,10.5075,1.16475841907
 06/17  18:00:00,312.126656971,25.382941973,31.2956825976,0.0,34.9369000822,32.3179380704,8.1925,0.0,8.1725,0.02
 06/17  19:00:00,271.291268428,25.382941973,25.0195581852,0.0,20.9621400493,23.2339557645,7.00213243239,0.0,5.8375,1.16463243239
 06/17  20:00:00,265.675564947,25.382941973,23.1173604786,0.0,20.9621400493,23.2339557645,5.8575,0.0,5.8375,0.02
 06/17  21:00:00,210.732088512,25.382941973,29.6104265366,0.0,6.98738001645,14.1499734587,4.66692597137,0.0,3.5025,1.16442597137
 06/17  22:00:00,134.293274657,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 06/17  23:00:00,159.877026548,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91557951828,0.0,1.75125,1.16432951828
 06/17  24:00:00,141.001021846,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 06/18  01:00:00,131.97074617,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 06/18  02:00:00,129.472974345,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91546873101,0.0,1.75125,1.16421873101
 06/18  03:00:00,128.725297824,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 06/18  04:00:00,137.702947697,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 06/18  05:00:00,137.603112962,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 06/18  06:00:00,178.111912086,25.382941973,10.4550618793,0.0,6.98738001645,14.1499734587,4.66677258274,0.0,3.5025,1.16427258274
 06/18  07:00:00,193.979347317,25.382941973,7.81387317742,0.0,6.98738001645,14.1499734587,4.45060985767,0.928109857675,3.5025,0.02
 06/18  08:00:00,231.014822811,25.382941973,9.09540790133,0.0,6.98738001645,14.1499734587,3.5225,0.0,3.5025,0.02
 06/18  09:00:00,218.657944735,25.382941973,10.7742688264,0.0,6.98738001645,14.1499734587,4.66679272118,0.0,3.5025,1.16429272118
 06/18  10:00:00,256.988789929,25.382941973,16.5588746256,0.0,27.9495200658,27.7759469175,7.025,0.0,7.005,0.02
 06/18  11:00:00,276.622463928,25.382941973,19.4768161183,0.0,27.9495200658,27.7759469175,8.16953768027,0.0,7.005,1.16453768027
 06/18  12:00:00,317.637402244,25.382941973,32.0682830841,0.0,41.9242800987,36.8599292233,9.36,0.0,9.34,0.02
 06/18  13:00:00,330.42598803,25.382941973,41.1060417186,0.0,41.9242800987,36.8599292233,10.5046047839,0.0,9.34,1.16460478385
 06/18  14:00:00,322.98674,25.382941973,41.8146912375,0.0,41.9242800987,36.8599292233,10.5046030635,0.0,9.34,1.16460306353
 06/18  15:00:00,326.886822194,25.382941973,50.5652816692,0.0,41.9242800987,36.8599292233,9.36,0.0,9.34,0.02
