Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 07/29  05:00:00,105.648653444,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/29  06:00:00,102.652003781,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/29  07:00:00,87.5518638055,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/29  08:00:00,283.066688142,1.11112400165,192.519334919,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/29  09:00:00,658.641154739,10.3424287034,554.505518734,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/29  10:00:00,508.253221801,13.1193909791,402.575883412,0.0,43.513341876,39.243024,13.4451134529,0.0,4.83426,8.61085345292
 07/29  11:00:00,601.352487179,12.3905375446,495.238428076,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/29  12:00:00,679.748719282,14.9854231481,571.184520162,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/29  13:00:00,673.53304263,15.7960132884,564.548429945,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/29  14:00:00,677.084861553,18.385893492,565.471699272,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/29  15:00:00,663.560218562,17.3064271237,553.060508114,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/29  16:00:00,641.889575367,18.9865878463,529.904074104,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/29  17:00:00,643.616206357,18.1418231802,532.633358741,0.0,43.513341876,39.243024,13.4413324767,0.0,4.83426,8.60707247671
 07/29  18:00:00,603.134359577,14.3427674689,496.25871091,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/29  19:00:00,527.21812225,14.2855979224,420.694554041,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/29  20:00:00,532.63320242,7.49071269787,417.946398427,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/29  21:00:00,467.433769254,3.00576347619,355.269520552,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/29  22:00:00,257.562268628,1.27450424233,149.608814688,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/29  23:00:00,446.688672207,3.09458496903,333.773095907,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/29  24:00:00,251.252497542,1.11286272713,143.517967309,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/30  01:00:00,157.204328628,0.372067509565,51.1848979832,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/30  02:00:00,203.750439621,0.737171124954,96.8919248391,0.0,43.513341876,39.243024,13.4413020457,0.0,4.83426,8.60704204568
 07/30  03:00:00,105.108760803,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/30  04:00:00,105.672149871,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/30  05:00:00,105.633631123,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/30  06:00:00,102.643118635,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/30  07:00:00,210.001525817,0.739923539238,120.485879382,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/30  08:00:00,257.114756033,0.938448478036,166.789345502,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/30  09:00:00,373.711303712,2.36270042933,279.678009427,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/30  10:00:00,434.070047613,3.14559008989,338.368472714,0.0,43.513341876,39.243024,13.4451165892,0.0,4.83426,8.61085658921
 07/30  11:00:00,511.786102189,9.29192089049,408.758958511,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/30  12:00:00,470.611475565,6.6732912657,371.779519005,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/30  13:00:00,543.208657359,9.56085697364,441.159451742,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/30  14:00:00,536.171677713,10.6580944429,433.541807422,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/30  15:00:00,610.021583042,9.08729984703,508.301695135,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/30  16:00:00,595.351323486,18.5663961587,484.249765048,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/30  17:00:00,509.061654545,8.01840261901,409.38217903,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/30  18:00:00,451.457806257,3.43422170582,356.838451606,0.0,43.513341876,39.243024,13.4413468255,0.0,4.83426,8.60708682546
 07/30  19:00:00,392.586080287,2.85520617356,298.613800833,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/30  20:00:00,370.932587631,2.53963845909,262.74193668,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/30  21:00:00,381.201378843,2.48752645988,270.304262567,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/30  22:00:00,196.063054103,0.742328421707,89.2756915981,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/30  23:00:00,149.180710877,0.368585562477,42.4608261806,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/30  24:00:00,105.081976151,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/31  01:00:00,105.085847516,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/31  02:00:00,105.084727934,0.0,0.0,0.0,43.513341876,39.243024,13.4450395206,0.0,4.83426,8.61077952056
 07/31  03:00:00,105.082852177,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/31  04:00:00,105.641925052,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/31  05:00:00,105.615898022,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/31  06:00:00,789.244654957,73.0449310632,600.522300545,0.0,43.513341876,39.942024,4.85981349994,0.00555349993953,4.83426,0.02
 07/31  07:00:00,863.221796666,73.3067183754,689.987561093,0.0,43.513341876,39.942024,13.4632199085,0.0105519026078,4.83426,8.61840800593
 07/31  08:00:00,1002.36816801,75.6810937941,703.394713606,0.0,122.71106,84.617158233,24.1913,0.0,24.1713,0.02
 07/31  09:00:00,1028.82988879,76.5610387194,728.877955165,0.0,122.71106,84.617158233,32.8037258233,0.0,24.1713,8.63242582333
